kappa0,nV,nE,nT,b0,b1,db0,db1,score,hole_density
-0.5,658,424,17,247,13,0,0,0.395137,0.03066
-0.458621,592,376,14,226,10,-21,-3,0.398649,0.026596
-0.417241,498,305,12,203,10,-23,0,0.427711,0.032787
-0.375862,474,285,10,197,8,-6,-2,0.432489,0.02807
-0.334483,440,258,8,190,8,-7,0,0.45,0.031008
-0.293103,86,47,8,47,8,-143,0,0.639535,0.170213
-0.251724,82,45,8,45,8,-2,0,0.646341,0.177778
-0.210345,76,42,8,42,8,-3,0,0.657895,0.190476
-0.168966,72,40,8,40,8,-2,0,0.666667,0.2
-0.127586,72,40,8,40,8,0,0,0.666667,0.2
-0.086207,72,40,8,40,8,0,0,0.666667,0.2
-0.044828,72,40,8,40,8,0,0,0.666667,0.2
-0.003448,72,40,8,40,8,0,0,0.666667,0.2
0.037931,0,0,0,0,0,-40,-8,0.0,0.0
0.07931,0,0,0,0,0,0,0,0.0,0.0
0.12069,0,0,0,0,0,0,0,0.0,0.0
0.162069,0,0,0,0,0,0,0,0.0,0.0
0.203448,0,0,0,0,0,0,0,0.0,0.0
0.244828,0,0,0,0,0,0,0,0.0,0.0
0.286207,0,0,0,0,0,0,0,0.0,0.0
0.327586,0,0,0,0,0,0,0,0.0,0.0
0.368966,0,0,0,0,0,0,0,0.0,0.0
0.410345,0,0,0,0,0,0,0,0.0,0.0
0.451724,0,0,0,0,0,0,0,0.0,0.0
0.493103,0,0,0,0,0,0,0,0.0,0.0
0.534483,0,0,0,0,0,0,0,0.0,0.0
0.575862,0,0,0,0,0,0,0,0.0,0.0
0.617241,0,0,0,0,0,0,0,0.0,0.0
0.658621,0,0,0,0,0,0,0,0.0,0.0
0.7,0,0,0,0,0,0,0,0.0,0.0
